,Scientific Name
0,Pomacentrus moluccensis
2,Pomacentrus adelus
5,Stethojulis strigiventer
6,Pomacentrus vaiuli
9,Plectroglyphidodon dickii
15,Pomacentrus bankanensis
16,Stegastes fasciolatus
17,Chrysiptera rex
18,Pomacentrus coelestis
25,Halichoeres marginatus
30,Plectroglyphidodon lacrymatus
39,Thalassoma lunare
43,Halichoeres melanurus
44,Acanthochromis polyacanthus
51,Zanclus cornutus
